Title,Authors,Description,Cleaned_Description,Fiction
Letourneau's Used Auto Parts (A HARVEST BOOK),"By Chute, Carolyn","In this “assured, complex and memorable tale” (Publishers Weekly), Chute once again makes a tiny corner of the world her own,a kind of Oz turned upside down with a wizard named Big Lucien, head of the Letourneau clan, another ragtag family that inhabits Egypt, Maine, and the nearby Miracle City.",in “assured complex memorable tale” publisher weekly chute make tiny corner world owna kind oz turned upside wizard named big lucien head letourneau clan another ragtag family inhabits egypt maine nearby miracle city,True
Big Lies: The Right-Wing Propaganda Machine and How It Distorts the Truth,"By Conason, Joe","In Big Lies, Joe Conason rips through the ten most damaging lies perpetrated by the right wing propaganda machine. This scathing, fact-filled analysis debunks it all: - The myth that Republicans are fiscal geniuses and champions of free enterprise. - The right's self-proclaimed monopoly on ""family values.""- The conservative smearing of liberals as unpatriotic and anti-American.- And of course, the ""compassionate conservatism"" of George W. Bush. (It depends on the meaning of “compassionate.”)Big Lies confronts right-wing slander and bias with a long-awaited, badly-needed counterpunch to the deceptions that have plagued American politics for a generation.",in big lie joe conason rip ten damaging lie perpetrated right wing propaganda machine this scathing factfilled analysis debunks the myth republican fiscal genius champion free enterprise the right selfproclaimed monopoly family value the conservative smearing liberal unpatriotic antiamerican and course compassionate conservatism george w bush it depends meaning “compassionate”big lie confronts rightwing slander bias longawaited badlyneeded counterpunch deception plagued american politics generation,False
Bachelorette #1,"By O'Connell, Jennifer","Sarah is undercover for Femme magazine, writing a juicy exposé about the women desperate enough to go on TV to vie for a man, and the bachelor shallow enough to view dating as a ratings game. Armed with a killer wardrobe, sun-kissed highlights, and her reporter's notebook, she can't wait to find out what happens at the posh California resort when the cameras stop rolling.  What she discovers is that this alternate reality is more seductive than she ever expected. The other women aren't all brainless bimbos. And ""The Stag"" isn't the arrogant jerk she imagined. Caught up in a whirlwind of moonlight swims, limo rides, and champagne toasts, Sarah stops working on her article...and starts wanting to win.  There's just one problem: Sarah's really a suburban wife and mother who misses her devoted husband and baby girl back home. Just how far will she go to become Bachelorette #1?",sarah undercover femme magazine writing juicy exposé woman desperate enough go tv vie man bachelor shallow enough view dating rating game armed killer wardrobe sunkissed highlight reporter notebook cant wait find happens posh california resort camera stop rolling what discovers alternate reality seductive ever expected the woman arent brainless bimbo and the stag isnt arrogant jerk imagined caught whirlwind moonlight swim limo ride champagne toast sarah stop working articleand start wanting win there one problem sarah really suburban wife mother miss devoted husband baby girl back home just far go become bachelorette 1,True
Distributed Computing Environments (McGraw-Hill Series on Computer Communications),"By Cerutti, Dan (EDT) and Pierson, Donna (EDT)","With each chapter written by an industry expert, this reference gives an overview of the technical issues, state of the industry, and financial implications of using and managing distributed systems in an open environment. Technical issues are clarified, such as hardware and software compatibility, client/server computing, and distributed systems management. The authors examine challenges that users, systems managers, and vendors face; details and trends of key technologies and products; and a view of future distributed computing networks. Annotation copyright Book News, Inc. Portland, Or.",with chapter written industry expert reference give overview technical issue state industry financial implication using managing distributed system open environment technical issue clarified hardware software compatibility clientserver computing distributed system management the author examine challenge user system manager vendor face detail trend key technology product view future distributed computing network annotation copyright book news inc portland or,False
Questions of Heaven: The Chinese Journeys of an American Buddhist,"By Ehrlich, Gretel","An American Buddhist describes her experiences traveling in western China to climb one of the country's sacred mountains.  She visits Buddhist lamas, and discusses the cultural and spiritual effects of recent political upheavals. No index. For general readers. Annotation c. by Book News, Inc., Portland, Or.",an american buddhist describes experience traveling western china climb one country sacred mountain she visit buddhist lama discus cultural spiritual effect recent political upheaval no index for general reader annotation c book news inc portland or,False
Unix: The Complete Reference : System V Release 3,"By Coffin, Stephen","Describes the background of the UNIX Operating System, provides information on commands, editing, programming, and communications, and discusses security, system configuration, and word processing",describes background unix operating system provides information command editing programming communication discus security system configuration word processing,False
Quattro Pro 4 Inside & Out,"By Cobb, Stephen","A guide to Quattro Pro 4, the presentation spreadsheet from Borland International. Based on Cobb's  Using Quattro Pro , the guide leads beginning and intermediate users from fundamental spreadsheet-building concepts to intermediate formulas and file management, and then to advanced commands and macros. Annotation copyright Book News, Inc. Portland, Or.",a guide quattro pro 4 presentation spreadsheet borland international based cobbs using quattro pro guide lead beginning intermediate user fundamental spreadsheetbuilding concept intermediate formula file management advanced command macro annotation copyright book news inc portland or,False
"Beware, Princess Elizabeth: A Young Royals Book (Young Royals, 2)","By Meyer, Carolyn","Imprisonment. Betrayal. Lost love. Murder. What more must a princess endure? Elizabeth Tudor&#39;s teenage and young adult years during the turbulent reigns of Edward and then Mary Tudor are hardly those of a fairy-tale princess. Her mother has been beheaded by Elizabeth&#39;s own father, Henry VIII; her jealous half sister, Mary, has her locked away in the Tower of London; and her only love interest betrays her in his own quest for the throne. Told in the voice of the young Elizabeth and ending when she is crowned queen, this second novel in the exciting series explores the relationship between two sisters who became mortal enemies. Carolyn Meyer has written an intriguing historical tale that reveals the deep-seated rivalry between a determined girl who became one of England&#39;s most powerful monarchs and the sister who tried everything to stop her.",imprisonment betrayal lost love murder what must princess endure elizabeth tudor39s teenage young adult year turbulent reign edward mary tudor hardly fairytale princess her mother beheaded elizabeth39s father henry viii jealous half sister mary locked away tower london love interest betrays quest throne told voice young elizabeth ending crowned queen second novel exciting series explores relationship two sister became mortal enemy carolyn meyer written intriguing historical tale reveals deepseated rivalry determined girl became one england39s powerful monarch sister tried everything stop,True
Plain Girl,"By Geer, Charles (ILT) and Sorensen, Virginia","An Amish girl, Esther feels like ""one black bird against the sky"" in her plain clothes. So when she's forced to attend public school she's terrified. She fears the new world she must enter, fears the way she sticks out next to other kids, and--most of all--fears she may do what her brother did: run away and join the sinful but great wide world she's only just discovering.",an amish girl esther feel like one black bird sky plain clothes so shes forced attend public school shes terrified she fear new world must enter fear way stick next kid andmost allfears may brother run away join sinful great wide world shes discovering,True
A Woman's Guide to Divorce and Decision Making,"By Robertson, Christina","Provides advice concerning emotional support, decision making, legal help, divorce settlements, custody, alimony, work skills, and social life",provides advice concerning emotional support decision making legal help divorce settlement custody alimony work skill social life,False
The Old Order: Stories of the South,"By Porter, Katherine Anne","A number of Porter’s finest stories have their setting in the South at the turn of the century. The Old Order brings these together in a single volume, including six stories from The Leaning Tower, three stories from Flowering Judas, and the short novel “Old Mortality” from Pale Horse, Pale Rider.",a number porter’s finest story setting south turn century the old order brings together single volume including six story the leaning tower three story flowering juda short novel “old mortality” pale horse pale rider,True
Virus X: Tracking the New Killer Plagues--Out of the Present & Into the Future,"By Ryan, Frank","A meticulously researched account of humankind against microbe investigates the nature of plague viruses from diverse parts of the world and their implications, and presents a radical new theory about the origins of these deadly diseases. 25,000 first printing. $25,000 ad/promo.",a meticulously researched account humankind microbe investigates nature plague virus diverse part world implication present radical new theory origin deadly disease 25000 first printing 25000 adpromo,False
The Next Century,"By Halberstam, David","A journalist reflects on the recent past and offers a wide-ranging perspective on the startling changes now reshaping the Soviet Union and Eastern Europe, and he analyzes Japan's rise to its present position in the world's economy",a journalist reflects recent past offer wideranging perspective startling change reshaping soviet union eastern europe analyzes japan rise present position world economy,False
ADD and the College Student: A Guide for High School and College Students With Attention Deficit Disorder,"By Quinn, Patricia O. (EDT)","Armed with the wisdom of both specialists and those who have ""been there"" themselves, readers with ADD can approach the prospect of college with confidence. This concise handbook is packed with practical information and advice for the smoothest possible transition to college life. Expanded and revised, with chapters written by physicians, psychologists, and educators with expertise in ADD, this new edition of ADD and the College Student provides a wealth of information.",armed wisdom specialist reader add approach prospect college confidence this concise handbook packed practical information advice smoothest possible transition college life expanded revised chapter written physician psychologist educator expertise add new edition add college student provides wealth information,False
Imagining Argentina,"By Thornton, Lawrence","“Remarkable . . . deeply  inventive . . . Thorton has imagined Argentina truly; his  inspired fable troubles and feeds our own intriguing imagining.”—Los Angeles TimesImagining Argentina is set in the  dark days of the late 1970's, when thousands of    Argentineans disappeared without a trace into the  general's prison cells and torture   chambers. When  Carlos Ruweda's wife is suddenly taken from him, he  discovers a   magical gift: In waking dreams, he had  clear visions of the fates of “the  disappeared.” But he cannot “imagine” what  has happened to his own wife. Driven to near  madness,   his mind cannot be taken away: imagination, stories, and  the mystical secrets of   the human  spirit.Praise for Imagining Argentina“A harrowing, brilliant  novel.”—The New Yorker“A  powerful new novel . . . Thorton seems to have wedded  his study of such writers as Borges and Marquez with thy his own instinctive gift for metaphor, and  in doing so, created his own brand of magical realism”—The New York Times“Imagining Argentina is a slim volume filled with beautiful writing. It is an exciting adventure story. It is a haunting love story. And it is a story for all  time.”—Detroit Free Press“The writing is crystalline, the  metaphors compelling . . . Its central theme is universal.”—The Philadelphia Inquirer“In a time when much North American fiction is contained by crabbed realism, Thorton takes for his material one of the bleaker recent instances of human cruelty, sees in it the enduring nobility of the human spirit and imagines a book that celebrates that spirit.”—The Washington Post Book World “A powerful first  novel and a manifesto for the memorializing power of literature.”—The New York Times Book Review“A  profoundly hopeful book.”—The Cleveland Plain Dealer",“remarkable deeply inventive thorton imagined argentina truly inspired fable trouble feed intriguing imagining”—los angeles timesimagining argentina set dark day late 1970s thousand argentineans disappeared without trace general prison cell torture chamber when carlos ruwedas wife suddenly taken discovers magical gift in waking dream clear vision fate “the disappeared” but cannot “imagine” happened wife driven near madness mind cannot taken away imagination story mystical secret human spiritpraise imagining argentina“a harrowing brilliant novel”—the new yorker“a powerful new novel thorton seems wedded study writer borges marquez thy instinctive gift metaphor created brand magical realism”—the new york times“imagining argentina slim volume filled beautiful writing it exciting adventure story it haunting love story and story time”—detroit free press“the writing crystalline metaphor compelling it central theme universal”—the philadelphia inquirer“in time much north american fiction contained crabbed realism thorton take material one bleaker recent instance human cruelty see enduring nobility human spirit imago book celebrates spirit”—the washington post book world “a powerful first novel manifesto memorializing power literature”—the new york time book review“a profoundly hopeful book”—the cleveland plain dealer,True
Snooze: The Best of Our Magazine (Unauthorized Parody),"By Gingold, Alfred and Buskin, John","A parody of ""The New Yorker"" includes fifty cartoons, a short story by Irving Bathsheba Single entitled ""The Goyim,"" and an essay on bowling by Roger Devill called ""The Rumbling of the Ball""",a parody the new yorker includes fifty cartoon short story irving bathsheba single entitled the goy essay bowling roger devill called the rumbling ball,False
Great Moments in Baseball,"By Seaver, Tom and Appel, Martin","A fan's guide to the colorful characters and events of baseball, this collection of favorite moments in the sport's history includes Babe Ruth's ""called shot"" and DiMaggio's fifty-six-game hitting streak. 50,000 first printing.",a fan guide colorful character event baseball collection favorite moment sport history includes babe ruth called shot dimaggio fiftysixgame hitting streak 50000 first printing,False
Kids are Punny 2: More Jokes Sent by Kids to the Rosie O'Donnell Show,"By O'Donnell, Rosie (EDT) and Rosie O'Donnell Show (Television Program) (COR)","Following in the tradition of the #1 New York Times bestseller Kids are Funny comes Kids are Funny 2, a collection of jokes sent in from kids to the enormously popular Rosie O'Donnell Show.",following tradition 1 new york time bestseller kid funny come kid funny 2 collection joke sent kid enormously popular rosie odonnell show,False
Beyond Jabez: Expanding Your Borders,"By Wilkinson, Bruce and Smith, Brian (CON)","“Director’s Cut” of Jabez Follows Up on Spiritual Phenomenon Bruce Wilkinson’s breakthrough teaching in The Prayer of Jabez captivated millions and continues to lead to changed lives around the world. This follow-up message discusses in greater detail the specific steps to take in making this scriptural passage part of your prayer life. For each of the prayer’s four sections, Wilkinson explains important biblical distinctions, answers misconceptions about the prayer, offers practical steps to praying the prayer, and shows potential results in readers’ lives. New content, exciting Jabez-inspired stories, and enriched commentary from Dr. Wilkinson make this a must-have for anyone who wants to live a world-changing life for God.Go Deeper.  Farther.  BEYOND.  When people passionately pray, God doesn’t just listen. He responds!  Where the #1 New York Times bestseller The Prayer of Jabez left off, Beyond Jabez picks up and goes even deeper. Priceless testimonies of answered prayer and bold, biblical teaching clear up the misconceptions surrounding this once little-known prayer. Is it really right to ask God to bless me? How can I experience the miracles accompanying a Jabez lifestyle? The answers inside will destroy doubt and sound the trumpet blast announcing a glorious new chapter in your walk with the Lord!  Are you ready? Because God is still moving—and asking you to do the same!  Inside Left Flap  Dare to Go There.  True Stories  When The Prayer of Jabez sold nine million copies in two years, Bruce Wilkinson’s mailbox was flooded with countless personal stories of answered prayer. God’s mighty hand was using the prayer to change lives in both small and dramatic ways. Such undeniable testimonies make it impossible to ignore God’s presence, active and alive today!  Refreshing Clarity  Beyond Jabez examines the larger biblical context of the once little-known prayer found in 1 Chronicles 4:9–10. Wilkinson’s sound instruction answers the skepticism surrounding the Jabez phenomenon and returns an awesome sense of wonder to the miracle of prayer.  Deeper Application  Packed with practical guidance from a man who daily prays Jabez’s prayer—and has for more than thirty years!— Beyond Jabez reveals how, with a sincere heart and a devoted prayer life, God can use you mightily for His purposes!  Story Behind the BookBruce Wilkinson spent thirty years studying and praying the prayer of Jabez. The original manuscript was over three hundred pages long. When The Prayer of Jabez was released in the spring of 2000, it had been culled down to 96 pages. It was originally intended as a gift from Bruce to the attendees of the 2000 National Day of Prayer. Now in 2005, the fifth anniversary of the release of the original Prayer of Jabez, the release of Beyond Jabez will be more like the book Bruce Wilkinson originally intended to write—a book with more teaching, stories of God’s blessings, and more application of what God intended of us in petitioning Him.",“director’s cut” jabez follows up spiritual phenomenon bruce wilkinson’s breakthrough teaching the prayer jabez captivated million continues lead changed life around world this followup message discus greater detail specific step take making scriptural passage part prayer life for prayer’s four section wilkinson explains important biblical distinction answer misconception prayer offer practical step praying prayer show potential result readers’ life new content exciting jabezinspired story enriched commentary dr wilkinson make musthave anyone want live worldchanging life godgo deeper farther beyond when people passionately pray god doesn’t listen he responds where 1 new york time bestseller the prayer jabez left beyond jabez pick go even deeper priceless testimony answered prayer bold biblical teaching clear misconception surrounding littleknown prayer is really right ask god bless how i experience miracle accompanying jabez lifestyle the answer inside destroy doubt sound trumpet blast announcing glorious new chapter walk lord are ready because god still moving—and asking inside left flap dare go there true story when the prayer jabez sold nine million copy two year bruce wilkinson’s mailbox flooded countless personal story answered prayer god’s mighty hand using prayer change life small dramatic way such undeniable testimony make impossible ignore god’s presence active alive today refreshing clarity beyond jabez examines larger biblical context littleknown prayer found 1 chronicle 49–10 wilkinson’s sound instruction answer skepticism surrounding jabez phenomenon return awesome sense wonder miracle prayer deeper application packed practical guidance man daily prays jabez’s prayer—and thirty years— beyond jabez reveals sincere heart devoted prayer life god use mightily his purpose story behind bookbruce wilkinson spent thirty year studying praying prayer jabez the original manuscript three hundred page long when the prayer jabez released spring 2000 culled 96 page it originally intended gift bruce attendee 2000 national day prayer now 2005 fifth anniversary release original prayer jabez release beyond jabez like book bruce wilkinson originally intended write—a book teaching story god’s blessing application god intended u petitioning him,False
The Nitpicker's Guide for Next Generation Trekkers,"By Farrand, Phil","Six seasons of bloopers, flubs, technical screw-ups, and picayune plot discrepancies for discriminating fans of Star Trek: The Next Generation Stardate 41153.7-46999.9 Starship Enterprise,  Registry NCC-1701D We’re watching you. . . Is there a control panel inside the turbo lift? (No . . . except in the episode “Brothers”) Do or don’t personnel have to tap their badge to access their communicator? (Only when the writers feel like it) Yes, we’re fans. But we’re not unobservant. Some of us even have Vulcanlike logic. Author Phil Farrand figures that even if you love somebody, you can tell them about that dab of mustard on their upper lip. So here’s a compendium for Trekkers who are unafraid of pointing the finger at oversights, and who know it’s great fun to find the sloppy mistakes (or cost-cutting cheating) in a show that takes itself very seriously. So get your VCR ready and your mind set for hours of enjoyment and mental stimulation with: • Plot oversights • Production problems • Changed premises • Equipment oddities • Trivia questions • Fun facts • Covers every show for the first six seasons of Star Trek: The Next Generation • And more!",six season blooper flub technical screwup picayune plot discrepancy discriminating fan star trek the next generation stardate 411537469999 starship enterprise registry ncc1701d we’re watching is control panel inside turbo lift no except episode “brothers” do don’t personnel tap badge access communicator only writer feel like yes we’re fan but we’re unobservant some u even vulcanlike logic author phil farrand figure even love somebody tell dab mustard upper lip so here’s compendium trekker unafraid pointing finger oversight know it’s great fun find sloppy mistake costcutting cheating show take seriously so get vcr ready mind set hour enjoyment mental stimulation • plot oversight • production problem • changed premise • equipment oddity • trivia question • fun fact • cover every show first six season star trek the next generation • and,False
Housetraining: An Owner's Guide to a Happy Healthy Pet,"By Morn, September B.","First things first!! There's no doubt that a primary concern of dog owners is having a housetrained pet. September Morn is a writer and dog trainer who is well-versed in the trials of housetraining. How to train dogs of all different ages, and to resolve special housetraining problems, are discussed in full.",first thing first there doubt primary concern dog owner housetrained pet september morn writer dog trainer wellversed trial housetraining how train dog different age resolve special housetraining problem discussed full,False
Artist by Himself,By Kinneir,"Self-portraits are arranged chronologically by the age of the artist when the drawing was made, and accompanied by writings indicating the artist's thoughts at that time",selfportraits arranged chronologically age artist drawing made accompanied writing indicating artist thought time,False
The Unsung Season: Gardens and Gardeners in Winter,"By Eddison, Sydney and Bussolini, Karen (PHT)","While most gardeners lose one quarter of the year, some happily pursue their hobby undaunted by the hostile elements. Written by one gardener who loves winter and photographed by another, The Unsung Season introduces us to a wonderful collection of gardening individualists. Some had the foresight to design their gardens to look beautiful when viewed through the windows. Others bring their gardening pleasures inside, turning windowsills, spare bedrooms, and enclosed porches into makeshift greenhouses. Some happily don snowshoes to prune, chop, and saw their way through the winter, and some turn their creative gardening juices into making things for and from their gardens in kitchens and basement workshops. Whether the reader loves winter or stoically endures it, The Unsung Season will share both the pleasures and the survival techniques of these special gardeners. There's something here for every gardener, just when he or she needs it most.",while gardener lose one quarter year happily pursue hobby undaunted hostile element written one gardener love winter photographed another the unsung season introduces u wonderful collection gardening individualist some foresight design garden look beautiful viewed window others bring gardening pleasure inside turning windowsill spare bedroom enclosed porch makeshift greenhouse some happily snowshoe prune chop saw way winter turn creative gardening juice making thing garden kitchen basement workshop whether reader love winter stoically endures the unsung season share pleasure survival technique special gardener there something every gardener need,False
Remembering Jack: Intimate and Unseen Photographs of the Kennedys (BULFINCH PRESS),"By Lowe, Jacques, Sidey, Hugh, and Wolfe, Tom (INT)","An extraordinary collection of six hundred photographs from the archives of the Kennedy family, many never before published, taken by JFK's personal photographer Jacques Lowe, is accompanied by personal commentary from friends and family and captures some of the intimate moments within the Kennedy enclave. 75,000 first printing.",an extraordinary collection six hundred photograph archive kennedy family many never published taken jfk personal photographer jacques lowe accompanied personal commentary friend family capture intimate moment within kennedy enclave 75000 first printing,False
Oracle8i For Dummies (For Dummies Series),"By McCullough-Dieter, Carol and Dana, Ned (FRW)","In Oracle8i For Dummies, Second Edition, author Carol McCullough takes the complexity out of the features available in Oracle8i Release 2 and Enterprise Manager version 2.1.4 and makes them easy to understand. She'll uncover all you need to know about features like built-in support for XML and Enterprise Java Beans, new security options for Internet applications, and new performance and tuning tools included with Enterprise Manager. With her easy-to-follow examples, you'll quickly become familiar with the database and tools and be ready to put them to work.",in oracle8i for dummy second edition author carol mccullough take complexity feature available oracle8i release 2 enterprise manager version 214 make easy understand shell uncover need know feature like builtin support xml enterprise java bean new security option internet application new performance tuning tool included enterprise manager with easytofollow example youll quickly become familiar database tool ready put work,False
Selvages and Biases: The Fabric of History in American Culture,"By Kammen, Michael G","Michael Kammen here addresses three closely related themes concerning the state of historical inquiry in America--how history as a professional discipline has changed over the past century; the significance of historiography as a measure of cultural change; and the necessity for new approaches to American cultural history, and to state and local history as well.",michael kammen address three closely related theme concerning state historical inquiry americahow history professional discipline changed past century significance historiography measure cultural change necessity new approach american cultural history state local history well,False
Beers of the World,"By Yenne, Bill","A celebration of beer and the countries that produce it takes readers and beer lovers on a country-by-country tour, one continent at a time, and features more than three hundred full-color photographs.",a celebration beer country produce take reader beer lover countrybycountry tour one continent time feature three hundred fullcolor photograph,False
For Our Beloved Country: American War Diaries from the Revolution to the Persian Gulf,"By Morgan, Speer and Michalson, Greg (EDT)","A collection of war diaries by American soldiers spans two centuries and more than a dozen conflicts to probe the inner feelings of soldiers faced with injury and possible loss of life. 15,000 first printing. National ad/promo.",a collection war diary american soldier span two century dozen conflict probe inner feeling soldier faced injury possible loss life 15000 first printing national adpromo,False
ABC Et Cetera: The Life & Times of the Roman Alphabet,"By Humez, Alexander and Humez, Nicholas",Describes the origins and history of words adopted from Latin and discusses ancient and modern usage,describes origin history word adopted latin discus ancient modern usage,False
The Sporting News: Baseball Trivia Book,"By Hoppel, Joe and Carter, Craig (EDT)","Lists a wide range of facts, statistics, and records concerning the hitting, pitching, and baserunning achievements of professional baseball players",list wide range fact statistic record concerning hitting pitching baserunning achievement professional baseball player,False
"Kennedy White House: Family Life and Pictures, 1961-1963 (Lisa Drew Books)","By Anthony, Carl Sferrazza","""Carl Anthony takes you inside the world's most famous goldfish bowl for a glimpse at life in the White House as you've never seen it before.""  -- Julie N. Eisenhower  The Kennedy White House is the first truly intimate look at Kennedy family life inside the White House. It is an unprecedented visit behind the scenes, revealing the world's most famous family in the world's most famous house. Author Carl Sferrazza Anthony scoured the Kennedy Library archives for never-before-seen color and black-and-white photographs that succeed in illustrating the Kennedy family story -- the joys and tragedies, celebrations and anniversaries, informal family gatherings and escapes to their private homes in Virginia, Palm Beach, Newport, and Hyannis Port. The book also explores for the first time the relationships between Jack and Jackie's nuclear family and both of their extended families.  The 337 full-color and black-and-white photos, taken by the primary White House photographers, are unstaged and provide a far more natural, spontaneous, and realistic portrait of the family than ever before; most of them, including color photographs of each of the private rooms, have never been seen, and they present an unparalleled look at life as it was lived behind the White House doors.  This is also the first book to place the Kennedy family within the context of the culture of the early 1960s and tell the story of the president's personal maturity through his evolving family relationships. Historical events like the Cuban Missile Crisis are uniquely viewed from the family's perspective. An appealing combination of history, biography, and popular culture, The Kennedy White House sheds new light on a family that continues to fascinate the American public forty years after they first captivated our attention.",carl anthony take inside world famous goldfish bowl glimpse life white house youve never seen julie n eisenhower the kennedy white house first truly intimate look kennedy family life inside white house it unprecedented visit behind scene revealing world famous family world famous house author carl sferrazza anthony scoured kennedy library archive neverbeforeseen color blackandwhite photograph succeed illustrating kennedy family story joy tragedy celebration anniversary informal family gathering escape private home virginia palm beach newport hyannis port the book also explores first time relationship jack jackies nuclear family extended family the 337 fullcolor blackandwhite photo taken primary white house photographer unstaged provide far natural spontaneous realistic portrait family ever including color photograph private room never seen present unparalleled look life lived behind white house door this also first book place kennedy family within context culture early 1960s tell story president personal maturity evolving family relationship historical event like cuban missile crisis uniquely viewed family perspective an appealing combination history biography popular culture the kennedy white house shed new light family continues fascinate american public forty year first captivated attention,False
Grumbles From The Grave,"By Heinlein, Robert A. and Heinlein, Virginia","The popular science fiction writer and author of ""Stranger in a Strange Land"" discusses censorship, the evolution of his style, his virulent atheism, his world travels, bouts with serious illnesses and other topics",the popular science fiction writer author stranger strange land discus censorship evolution style virulent atheism world travel bout serious illness topic,False
Ramona Forever (Ramona Series),"By Rogers, Jacqueline (ILT) and Cleary, Beverly","Newbery Medal winner Beverly Cleary continues to amuse readers with her wonderful, blunderful Ramona Quimby!Life can move pretty fast—especially when you're in the third grade, your teenage sister's moods drive you crazy, and your mom has a suspicious secret she just won't share. Plus, Mr. Quimby's new job offer could have the entire family relocating. It's a lot to handle for Ramona. But whatever trial comes her way, Ramona can count on one thing for sure—she'll always be Ramona…forever!",newbery medal winner beverly cleary continues amuse reader wonderful blunderful ramona quimbylife move pretty fast—especially youre third grade teenage sister mood drive crazy mom suspicious secret wont share plus mr quimbys new job offer could entire family relocating it lot handle ramona but whatever trial come way ramona count one thing sure—shell always ramona…forever,True
An Obsession With Butterflies: Our Long Love Affair With A Singular Insect,"By Russell, Sharman Apt","Sharman Apt Russell again blends her lush voice and keen scientific eye in this marvelous book about butterflies. From Hindu mythology to Aztec sacrifices, butterflies have served as a metaphor for resurrection and transformation. Even during World War II, children in a Polish death camp scratched hundreds of butterflies onto the walls of their barracks. But as Russell points out in this rich and lyrical meditation, butterflies are above all objects of obsession. From the beastly horned caterpillar, whose blood helps it count time, to the peacock butterfly, with wings that hiss like a snake, Russell traces the butterflies through their life cycles, exploring the creatures' own obsessions with eating, mating, and migrating. In this way, she reveals the logic behind our endless fascination with butterflies as well as the driving passion of such legendary collectors as the tragic Eleanor Glanville, whose children declared her mad because of her compulsive butterfly collecting, and the brilliant Henry Walter Bates, whose collections from the Amazon in 1858 helped develop his theory of mimicry in nature. Russell also takes us inside some of the world's most prestigious natural history museums, where scientists painstakingly catalogue and categorize new species of Lepidoptera, hoping to shed light on insect genetics and evolution. A luminous journey through an exotic world of obsession and strange beauty, this is a book to be treasured by anyone who's ever watched a butterfly mid-flight and thought, as Russell has, ""I've entered another dimension.""",sharman apt russell blend lush voice keen scientific eye marvelous book butterfly from hindu mythology aztec sacrifice butterfly served metaphor resurrection transformation even world war ii child polish death camp scratched hundred butterfly onto wall barrack but russell point rich lyrical meditation butterfly object obsession from beastly horned caterpillar whose blood help count time peacock butterfly wing hiss like snake russell trace butterfly life cycle exploring creature obsession eating mating migrating in way reveals logic behind endless fascination butterfly well driving passion legendary collector tragic eleanor glanville whose child declared mad compulsive butterfly collecting brilliant henry walter bates whose collection amazon 1858 helped develop theory mimicry nature russell also take u inside world prestigious natural history museum scientist painstakingly catalogue categorize new specie lepidoptera hoping shed light insect genetics evolution a luminous journey exotic world obsession strange beauty book treasured anyone who ever watched butterfly midflight thought russell ive entered another dimension,False
If the Gods Had Meant Us to Vote They Would Have Given Us Candidates,"By Hightower, Jim","If anything, in this presidential election special, he's madder than ever!In his earlier bestseller, There's Nothing in the Middle of the Road but Yellow Stripes and Dead Armadillos, Hightower only began to tap into the deep yearning that Americans have for a new politics that speaks to them from a real-world, kitchen-table perspective. Now, with the year 2000 being an especially significant marker for contemplating our country's direction, not only for the new year but for the new century and the new millennium, it's time for citizens to reclaim their political, economic, and cultural heritage.Leading the way with his hilariously irreverent yet profoundly serious book is our name-naming, podium-pounding, point-them-in-the-right-direction populist, Hightower himself. He whacks conventional wisdom right upside the head,showing,with startling facts and compelling personal stories, that despite a so-called period of prosperity, America's middle class is getting mugged, and that far from being ordained by the gods,globalization is globaloney! Hightower rips the mass off of the candidates, the parties, the consultants, and especially the moneyed powers whoa re supporting all of the leading presidential hopefuls. he's mad about them all--but what he's maddest about, what really gets his goat,is that they are all the same! To paraphrase Jim, American politicians are alike because they don't come cheap. In fact, they're all very expansive. which is why only the rich can own them and why their allegiance is definitely not to regular,worka-day citizens.No one is spared in this insightful and engaging blend of horror and success stories, hard-hitting commentary, laugh-out-loud humor, useful facts, and sparkling language. An equal opportunity muckraker and conscientious agitator for ""We the people,"" Hightower inspires us to take charge again, to build a new politics, and, together, to build a better tomorrow. Jim Hightower's If the Gods Had Meant Us to Vote They Would Have Given Us Candidates proves yet again that his is a uniquely wise and peerlessly singular voice in the maelstrom of political prattle.",if anything presidential election special he madder everin earlier bestseller there nothing middle road yellow stripe dead armadillo hightower began tap deep yearning american new politics speaks realworld kitchentable perspective now year 2000 especially significant marker contemplating country direction new year new century new millennium time citizen reclaim political economic cultural heritageleading way hilariously irreverent yet profoundly serious book namenaming podiumpounding pointthemintherightdirection populist hightower he whack conventional wisdom right upside headshowingwith startling fact compelling personal story despite socalled period prosperity america middle class getting mugged far ordained godsglobalization globaloney hightower rip mass candidate party consultant especially moneyed power whoa supporting leading presidential hopeful he mad allbut he maddest really get goatis to paraphrase jim american politician alike dont come cheap in fact theyre expansive rich allegiance definitely regularworkaday citizensno one spared insightful engaging blend horror success story hardhitting commentary laughoutloud humor useful fact sparkling language an equal opportunity muckraker conscientious agitator we people hightower inspires u take charge build new politics together build better tomorrow jim hightowers if god had meant u vote they would have given u candidate prof yet uniquely wise peerlessly singular voice maelstrom political prattle,False
