id,class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,season
12644,e,8.17,f,,u,f,s,c,b,7.04,18.57,,,b,,,f,f,,l,a
12645,e,3.45,f,h,n,f,,c,k,6.11,6.47,,s,w,,w,f,f,k,d,a
12646,p,19.98,f,d,o,f,p,,y,5.05,38.35,,,n,,,f,f,,d,a
12647,p,1.14,x,g,w,f,a,d,w,2.98,1.32,,,n,,,f,f,,d,u
12648,e,6.11,x,y,w,f,e,c,p,4.79,12.42,,,w,,w,t,e,,d,a
12649,e,8.4,x,t,n,t,p,,n,7.29,17.89,,,n,,w,t,p,,d,u
12650,e,3.94,s,w,y,f,f,f,f,4.41,10.71,,,y,,,f,f,,d,u
12651,e,5.51,x,h,n,f,x,c,w,4.15,4.92,,s,n,,,t,r,,d,s
12652,p,3.88,f,l,e,f,x,d,e,5.63,5.16,,,n,,,f,f,,d,u
12653,e,8.11,x,,n,t,,,w,10.41,14.06,b,,w,u,w,t,g,,d,u
12654,p,3.03,x,y,y,f,a,,w,5.49,3.48,,y,n,,,t,r,,g,a
12655,p,0.94,b,t,n,f,,c,g,3.18,2.4,,,n,,,t,f,,g,u
12656,e,6.73,f,s,n,f,s,c,w,6.08,10.66,b,i,n,,,f,f,,m,a
12657,e,4.89,x,h,o,f,a,d,w,7.21,5.67,,s,n,,,f,f,,d,s
12658,p,9.33,x,t,n,t,d,c,n,6.02,15.03,,,n,,,f,f,,d,a
12659,e,8.0,f,s,y,f,a,d,w,10.36,14.84,,i,n,,,t,,w,d,u
12660,p,3.85,c,i,y,f,,c,n,5.6,7.22,,,w,,,f,f,,d,a
12661,p,8.95,p,,n,f,p,,w,11.09,33.02,c,,n,,,f,f,w,d,u
12662,e,7.34,c,h,n,f,e,,w,14.0,12.77,,s,n,u,w,f,f,,d,u
12663,p,4.02,f,t,n,f,x,c,p,7.1,4.96,,i,n,,,f,f,,d,u
12664,p,4.23,b,,g,f,a,,n,9.1,2.51,,,n,,w,f,f,k,g,a
12665,p,1.86,b,,n,f,a,,g,5.07,1.9,,s,g,,,f,f,,d,a
12666,e,4.05,s,w,y,f,f,f,f,5.63,15.4,,,y,,,f,f,,d,a
12667,p,6.66,s,t,n,f,x,c,y,5.2,14.22,,,y,,,f,f,,d,a
12668,e,8.88,x,h,n,t,p,,n,8.13,18.49,,,n,,w,t,p,,d,a
12669,p,8.01,f,t,e,f,x,d,w,7.06,18.02,b,,w,,,f,f,,d,u
12670,e,6.0,x,l,w,f,d,,p,3.36,8.58,,,w,,,f,f,,g,u
12671,p,3.12,s,d,w,f,a,d,w,3.82,2.46,,h,w,,,f,f,,g,u
12672,p,10.16,s,t,n,t,d,c,n,5.94,14.0,,,n,,,f,f,,d,a
12673,p,8.81,s,,y,t,d,,o,4.42,12.11,,,w,,,t,f,,d,u
12674,e,8.87,x,t,n,t,p,,y,8.87,18.0,,,n,,w,t,p,,d,u
12675,p,2.09,f,i,l,f,a,,w,4.71,2.45,,,w,,,f,f,p,g,a
12676,p,4.2,x,t,n,f,s,c,n,4.9,7.2,,,w,,n,t,z,,d,a
12677,e,7.61,x,s,k,f,a,c,w,3.98,14.98,,,w,,,f,f,,d,u
12678,e,4.91,x,,w,f,x,c,w,7.92,8.38,b,,w,,w,t,,,g,s
12679,p,7.89,x,w,p,f,s,c,p,5.21,10.34,,,p,,,f,f,,d,w
12680,e,3.39,b,g,n,f,x,d,w,4.78,3.19,,,w,,,f,f,,g,u
12681,e,4.27,x,,w,f,x,c,n,7.98,9.64,b,,n,,w,t,,,d,s
12682,e,3.73,x,s,w,f,d,d,w,3.33,5.67,,,w,,,f,f,,m,w
12683,e,8.23,x,h,y,t,x,c,y,7.07,16.49,,,w,,,f,f,,d,a
12684,p,3.18,f,,n,f,x,c,p,7.39,4.12,,,p,,,f,f,,l,a
12685,p,3.29,x,t,n,f,s,c,n,6.28,9.83,,,w,,n,t,z,,d,a
12686,p,2.86,o,,g,f,f,f,f,3.49,16.6,,g,g,,,f,f,,d,u
12687,e,19.56,f,e,n,f,a,c,w,7.89,25.52,s,,w,,,f,f,,d,w
12688,e,1.54,x,g,n,f,a,,w,6.13,1.73,,t,y,,,f,f,,g,u
12689,e,10.51,x,e,y,f,x,c,w,6.55,16.65,,,w,,,f,f,,d,a
12690,p,5.36,b,i,k,f,e,,y,7.06,7.86,,,o,,,f,f,,g,w
12691,p,12.04,x,t,n,f,a,d,w,11.85,31.21,,,w,,,f,f,,d,u
12692,p,2.98,f,d,p,f,a,,r,4.64,5.67,,t,y,,,f,f,,g,a
12693,p,2.22,f,s,o,f,d,,y,2.07,5.62,,,y,,,f,f,,h,a
12694,e,3.12,s,,n,f,f,f,f,5.99,6.55,,,y,,,f,f,,d,a
12695,e,7.55,x,t,y,t,x,c,y,8.39,17.02,,,w,,,f,f,,d,a
12696,p,7.92,s,t,p,t,d,c,p,7.48,13.7,,,p,,,t,f,,d,a
12697,p,3.18,b,,n,f,a,,k,8.92,2.64,,,g,,w,f,f,k,g,u
12698,p,4.82,s,d,o,f,d,c,o,3.55,6.22,,,o,,,f,f,,d,a
12699,p,5.6,f,d,n,f,d,c,y,4.83,6.93,,i,y,,,t,,,d,a
12700,e,6.31,x,y,n,f,e,c,w,5.48,8.14,,y,n,,,f,f,,d,u
12701,p,3.71,b,s,y,f,,c,r,9.36,7.66,,,y,u,w,t,z,k,d,u
12702,p,4.2,x,t,n,f,a,c,n,4.88,6.01,,y,n,,,t,z,,d,w
12703,e,6.01,s,,n,f,d,c,w,3.72,7.21,,s,w,,,f,f,,d,a
12704,e,3.99,f,t,n,f,d,,o,5.87,6.23,,t,w,,,f,f,,d,u
12705,p,3.21,s,s,g,f,d,c,w,2.99,7.57,,,w,,,f,f,,g,u
12706,p,2.86,f,w,o,t,d,c,y,3.48,6.14,,,n,,,f,f,,d,u
12707,e,7.28,x,h,n,f,p,d,y,5.92,11.62,,s,n,,,f,f,,h,u
12708,p,7.33,f,,r,f,x,c,n,6.9,11.25,,,w,,,f,f,,d,u
12709,p,10.38,x,t,n,f,a,d,w,11.17,32.82,,,w,,,f,f,,d,a
12710,p,12.0,x,t,r,t,d,c,n,6.21,14.36,,,n,,,f,f,,h,a
12711,p,3.38,b,t,l,f,s,c,g,5.69,6.52,,y,l,,,t,e,k,d,u
12712,p,14.21,x,h,n,t,p,,e,10.43,30.86,c,,y,,,f,f,,d,u
12713,e,6.25,b,h,k,f,s,d,g,4.27,9.38,,s,g,,,f,f,,d,u
12714,p,10.0,p,y,n,t,e,,p,9.34,18.13,,y,w,,,t,p,,l,u
12715,e,3.81,f,t,n,f,d,,o,5.75,5.92,,t,o,,,f,f,,d,a
12716,e,9.88,f,,n,t,,,w,12.17,20.46,b,,w,u,w,t,g,,d,u
12717,p,3.11,f,y,p,f,e,c,w,4.8,3.37,,k,w,,,t,e,,m,u
12718,p,2.68,s,w,o,t,d,c,n,2.99,6.18,,,n,,,f,f,,d,u
12719,p,2.72,o,,g,f,f,f,f,3.12,14.34,,g,g,,,f,f,,d,a
12720,e,9.17,f,y,e,f,,,w,5.81,22.79,b,,n,,w,t,e,,d,u
12721,e,8.14,f,,y,f,a,c,w,7.21,18.23,,,w,,,f,f,,d,w
12722,e,12.03,f,,g,f,d,c,y,2.62,17.03,,,w,,,f,f,,d,a
12723,e,1.62,f,w,n,f,,d,k,5.22,2.72,,,w,,,f,f,,d,a
12724,p,3.42,x,s,y,f,,c,y,8.36,6.85,,,y,u,w,t,z,r,d,u
12725,e,5.6,f,y,n,f,s,,g,4.23,7.17,,,w,,,f,f,,d,u
12726,e,4.69,c,,g,f,f,f,f,4.43,18.45,,,n,,,f,f,,d,s
12727,p,3.86,o,,w,f,f,f,f,5.35,28.98,,g,w,,,t,f,,d,u
12728,e,5.17,x,h,o,f,a,c,y,7.94,5.95,,s,n,,,f,f,,d,a
12729,p,1.38,x,k,n,f,,,n,4.46,1.66,,,n,,,f,f,,d,u
12730,p,8.9,x,y,w,t,,,g,9.24,16.25,s,,w,,,t,l,,g,u
12731,e,10.3,x,,g,f,x,c,w,7.47,20.84,,,w,,,f,f,,d,w
12732,e,11.09,p,s,n,t,e,,g,8.86,16.87,s,,w,,,t,r,,m,a
12733,p,5.7,s,,o,t,d,,o,4.51,12.54,,,w,,,t,f,,d,a
12734,e,3.62,s,d,p,t,d,c,p,3.97,5.91,,,g,,,f,f,,d,u
12735,e,4.09,f,h,o,f,a,d,w,5.46,5.25,,k,o,,,f,f,,d,w
12736,p,19.61,x,k,w,f,d,d,w,7.11,31.13,,,w,,,f,f,,d,u
12737,e,8.22,f,,p,f,x,c,w,6.46,19.57,,s,w,,,f,f,,d,u
12738,e,7.31,x,t,n,f,e,,w,13.12,13.33,,s,w,u,w,f,f,,d,a
12739,e,4.34,x,t,n,f,d,,o,6.13,6.49,,t,w,,,f,f,,d,w
12740,e,11.1,x,h,n,t,p,,y,9.6,22.9,,,n,,,f,f,,d,u
12741,e,3.68,x,,y,f,a,c,y,3.3,6.87,,,w,,,f,f,,d,a
12742,p,5.17,s,,n,t,d,c,w,5.85,5.38,,,e,,,f,f,,d,a
12743,e,10.04,f,y,e,f,,,w,7.32,25.09,b,,n,,w,t,e,,d,w
12744,p,6.41,b,t,w,f,e,c,w,11.35,11.82,,y,w,u,w,t,l,,d,a
12745,e,6.29,c,,n,f,f,f,f,7.09,21.63,,,n,,,f,f,,l,s
12746,e,8.56,x,,g,f,s,c,p,7.37,19.67,b,,u,,,f,f,,g,a
12747,p,9.1,p,,n,f,p,,p,10.31,31.6,c,,n,,,f,f,w,d,u
12748,p,1.22,x,g,n,f,d,,n,1.94,2.34,,s,n,,,f,f,,h,u
12749,p,1.6,p,t,n,f,a,c,n,9.29,2.64,,t,y,,,t,e,,m,s
12750,e,3.8,b,y,n,f,,c,k,6.64,3.42,,,w,,,f,f,,d,a
12751,p,3.16,b,,k,f,a,,k,9.54,2.51,,,n,,w,f,f,k,g,a
12752,e,2.52,x,d,p,f,a,c,e,4.45,6.43,,,o,,,f,f,,g,a
12753,e,7.12,x,y,n,f,e,c,p,4.94,13.49,,,w,,,t,l,,w,u
12754,p,1.71,b,g,y,f,,c,n,4.79,2.54,,,n,,,f,f,,g,a
12755,e,7.02,x,,p,f,x,c,w,7.38,17.34,,s,w,,,f,f,,d,a
12756,e,5.79,x,t,n,f,e,,w,10.76,11.78,,s,n,,w,f,f,,d,u
12757,e,7.6,x,,n,f,x,,w,8.47,17.58,,,w,,,f,f,,d,a
12758,p,2.74,b,w,r,f,a,,r,4.93,5.67,,t,y,,,f,f,,d,u
12759,e,8.09,x,,g,f,a,,w,7.73,15.05,,,g,,,f,f,,g,u
12760,e,8.33,f,s,n,f,s,,n,8.78,12.34,,i,n,,,f,f,,d,a
12761,p,8.36,x,y,y,f,a,c,y,9.08,10.56,,y,n,,,t,,,d,a
12762,p,4.18,o,,w,f,f,f,f,6.36,38.7,,g,w,,,t,f,,d,a
12763,e,2.92,x,,y,f,a,c,o,3.26,7.5,,,y,,,f,f,,d,u
12764,e,3.15,f,s,w,f,d,d,w,3.9,6.08,,,w,,,f,f,,g,w
12765,p,4.31,x,s,o,f,e,,y,6.26,6.93,,,y,,,f,f,,m,a
12766,p,3.55,x,,w,f,x,c,p,8.32,4.02,,,n,,,f,f,,l,a
12767,p,1.6,p,t,n,f,a,c,g,6.28,2.25,,t,y,,,t,e,,m,u
12768,e,5.69,f,s,n,f,x,c,w,6.25,9.23,,s,n,,,f,f,,l,a
12769,e,6.73,f,w,y,f,f,f,f,6.26,13.59,,,y,,,f,f,,d,u
12770,e,2.72,f,d,g,t,d,c,p,4.25,6.1,,,g,,,f,f,,d,u
12771,e,6.13,x,s,w,f,e,c,n,5.22,12.43,,,w,,w,t,e,,m,u
12772,p,2.84,x,t,n,f,s,c,n,5.28,9.16,,,w,,n,t,z,,d,u
12773,e,13.34,s,e,n,f,a,c,w,8.34,24.67,s,,w,,,f,f,,l,w
12774,p,10.24,x,e,y,t,p,,o,7.15,26.4,,,e,,,f,f,,d,u
12775,e,9.39,f,y,e,f,,,w,5.83,24.92,b,,n,,w,t,e,,d,u
12776,e,5.63,x,s,n,f,p,,n,7.28,11.96,,,n,,,f,f,,d,a
12777,p,1.63,b,g,n,f,,c,n,6.35,3.35,,,n,,,f,f,,g,a
12778,e,11.85,f,,b,f,d,c,w,2.59,15.23,,,w,,,f,f,,d,w
12779,p,0.66,x,g,o,f,,,y,3.46,0.6,,,y,,,f,f,,d,u
12780,e,3.65,x,s,w,f,d,d,w,3.7,5.9,,,w,,,f,f,,g,a
12781,e,1.25,b,g,g,f,,,g,3.23,1.49,,,w,,,f,f,,d,u
12782,e,5.3,c,,n,f,f,f,f,4.6,20.25,,,n,,,f,f,,l,s
12783,p,7.35,s,t,y,f,x,c,y,5.68,17.08,,,y,,,f,f,,d,a
12784,e,4.09,x,t,n,f,d,,o,6.09,8.18,,t,w,,,f,f,,d,w
12785,e,3.09,b,y,n,f,,c,n,6.85,3.36,,,w,,,f,f,,d,s
12786,p,3.14,b,y,n,f,,c,u,4.77,4.54,s,s,w,,,f,f,,d,u
12787,p,12.8,x,,n,f,e,,w,11.0,13.51,,,w,u,w,t,g,,d,a
12788,p,0.78,x,,o,f,d,,o,4.52,1.16,,,o,,,f,f,w,g,a
12789,e,2.84,b,y,n,f,,c,k,6.63,3.05,,,w,,,f,f,,d,s
12790,p,2.69,f,t,r,f,a,,y,4.98,5.57,,t,r,,,f,f,,g,u
12791,e,6.89,x,h,n,f,p,d,y,6.71,12.22,,s,n,,,f,f,,d,a
12792,e,1.48,c,g,n,f,a,,w,4.67,1.36,,,g,,,f,f,,l,u
12793,e,10.85,f,,n,t,,,w,9.25,22.94,b,,w,u,w,t,g,,d,u
12794,p,0.65,x,g,o,f,,,y,3.52,0.72,,,w,,,f,f,,d,a
12795,e,8.47,x,h,n,t,p,,y,7.99,16.64,,,n,,w,t,p,,d,a
12796,e,2.98,f,h,n,f,,c,n,5.71,6.47,,s,w,,w,f,f,k,d,u
12797,p,3.33,f,,w,f,a,c,w,3.81,3.57,,i,u,,,f,f,,d,a
12798,e,8.03,x,h,y,f,p,,y,7.62,14.16,,,y,,y,t,,,d,u
12799,p,1.26,s,s,y,f,f,f,f,3.32,5.46,,,y,,,f,f,,d,u
12800,e,7.84,x,y,n,f,e,c,p,4.88,13.21,,,w,,,t,l,,w,u
12801,p,1.06,b,t,n,f,,c,k,3.6,2.67,,,n,,,t,f,,m,s
12802,p,13.35,f,s,y,f,s,,p,8.56,18.36,,i,n,,,f,f,,d,a
12803,p,2.22,b,g,n,f,,c,n,6.55,2.98,,,n,,,f,f,,d,s
12804,p,3.84,b,t,n,f,x,c,p,5.84,4.34,,i,n,,,f,f,,g,a
12805,e,4.18,p,,n,f,f,f,f,5.65,21.48,,,n,,,f,f,,l,s
12806,p,5.11,c,k,w,t,x,c,y,6.29,12.25,,,w,,,f,f,,d,s
12807,p,3.85,b,t,r,f,s,c,g,6.27,7.08,,y,l,,,t,e,k,m,a
12808,e,7.54,x,t,n,f,p,d,y,6.37,12.26,,s,n,,,f,f,,g,u
12809,p,2.26,b,g,o,f,,c,n,6.55,3.04,,,n,,,f,f,,d,u
12810,p,1.09,b,t,n,f,,c,n,3.86,2.44,,,n,,,t,f,,g,a
12811,p,7.89,f,w,p,f,s,c,p,4.56,8.87,,,p,,,f,f,,d,a
12812,p,8.4,x,,n,t,x,,u,9.24,19.16,s,,g,,u,f,f,,d,a
12813,p,5.94,c,e,y,t,x,c,p,7.21,12.57,,,w,,,f,f,,d,a
12814,e,9.54,p,y,n,t,e,,p,9.2,18.79,,y,w,,,t,p,,l,a
12815,p,2.53,x,g,e,f,a,,p,7.42,2.57,,,n,,,f,f,,d,u
12816,p,4.58,f,l,y,f,x,d,e,7.0,5.49,,,n,,,f,f,,d,a
12817,p,4.45,x,i,e,f,,,e,4.54,5.08,,,e,,,f,f,n,d,a
12818,p,7.53,x,y,n,f,a,c,n,10.85,10.77,,y,n,,,t,,,d,a
12819,e,0.95,b,g,g,f,,,g,3.16,1.72,,,w,,,f,f,,d,a
12820,p,0.8,x,g,n,f,a,,n,3.92,0.96,,h,k,,,f,f,,d,w
12821,e,5.51,f,w,y,f,f,f,f,3.98,11.23,,,y,,,f,f,,d,a
12822,e,5.54,p,,g,f,f,f,f,5.04,19.17,,,n,,,f,f,,d,s
12823,p,8.33,f,y,u,f,s,c,y,7.03,18.22,,y,y,,,f,f,,d,a
12824,p,4.49,f,d,b,f,x,c,w,4.54,3.51,b,i,n,,,f,f,,d,a
12825,p,9.25,x,s,n,f,s,,p,4.99,17.07,,i,n,,,f,f,,d,u
12826,e,4.34,f,d,u,t,d,c,p,5.89,6.31,,,n,,,f,f,,d,u
12827,p,4.08,b,y,p,f,e,c,w,5.75,3.56,,k,w,,,t,e,,m,u
12828,e,15.85,x,e,n,t,e,,w,11.05,18.3,,,w,,,t,,,g,a
12829,p,5.76,x,i,e,f,e,,y,5.93,6.06,,,o,,,f,f,,m,u
12830,p,3.27,b,t,n,f,,,k,9.92,5.7,,,w,,,t,,k,g,u
12831,e,10.53,f,e,b,f,,c,b,5.92,20.82,,,w,,,t,f,,d,a
12832,p,0.55,f,,o,f,d,,o,4.27,1.04,,,o,,,f,f,w,g,a
12833,p,3.98,f,d,n,f,x,c,y,5.65,3.74,b,i,n,,,f,f,,l,u
12834,p,6.48,x,d,n,t,d,c,w,7.27,9.53,,,n,,,f,f,,d,a
12835,p,4.61,f,l,n,f,x,d,y,6.11,5.52,,,n,,,f,f,,l,a
12836,e,3.18,x,s,w,f,d,d,w,3.26,5.92,,,w,,,f,f,,m,a
12837,e,3.45,x,s,w,f,d,d,w,3.75,6.62,,,w,,,f,f,,m,w
12838,e,2.87,x,h,n,f,,c,k,4.68,6.01,,s,w,,w,f,f,k,d,u
12839,e,6.66,x,d,b,f,d,d,b,6.19,12.73,,,w,,,f,f,,d,a
12840,p,3.98,s,s,g,f,d,c,w,3.48,9.03,,,w,,,f,f,,g,u
12841,p,9.43,b,y,w,f,,,w,9.06,17.47,,,w,,,f,f,,d,a
12842,p,8.85,f,,w,f,x,c,w,12.01,12.85,r,i,w,d,,f,f,,d,u
12843,e,8.44,x,h,n,t,p,,n,9.32,18.09,,,n,,w,t,p,,d,a
12844,p,4.56,x,h,o,f,a,c,y,5.82,6.95,,g,o,,,f,f,,g,u
12845,p,0.72,x,,o,f,d,,o,4.31,0.96,,,o,,,f,f,w,g,a
12846,e,1.55,x,w,n,f,,d,g,4.75,2.62,,,w,,,f,f,,g,s
12847,p,6.76,x,s,r,t,s,d,r,6.67,17.52,r,y,w,,,f,f,,d,a
12848,e,7.83,x,,n,t,p,,g,10.85,14.95,,y,w,,,f,f,,d,a
12849,p,1.31,x,,n,f,,,n,4.84,2.33,,s,n,,,f,f,k,g,a
12850,e,5.98,f,s,b,f,x,c,w,6.61,9.55,,s,n,,,f,f,,l,a
12851,p,3.92,f,t,n,f,x,c,p,6.58,4.33,,i,g,,,f,f,,m,a
12852,p,7.78,o,k,o,f,,c,y,1.5,15.57,,,y,,,f,f,,d,w
12853,p,3.55,b,y,n,f,,c,u,6.66,4.54,s,s,w,,,f,f,,d,u
12854,p,8.11,s,t,p,t,d,c,p,7.39,13.21,,,p,,,t,f,,d,u
12855,e,6.99,x,s,e,f,a,d,w,9.07,15.29,,i,n,,,t,,w,d,w
12856,e,7.37,x,y,n,f,e,c,w,6.47,10.25,,y,n,,,f,f,,d,a
12857,p,0.71,x,g,e,f,a,,p,4.19,1.1,,h,k,,,f,f,,d,u
12858,e,9.21,f,s,n,f,s,c,w,7.19,11.15,b,i,n,,,f,f,,l,a
12859,p,3.88,f,w,u,f,a,c,u,6.41,6.93,,s,u,,,f,f,,l,u
12860,p,4.63,x,t,r,f,,c,g,7.71,7.97,,y,w,,,t,e,k,d,u
12861,e,6.41,x,t,n,f,p,,w,6.77,13.54,,,n,,,f,f,,d,a
12862,e,7.31,f,s,n,f,s,c,w,5.75,9.95,b,i,w,,,f,f,,l,u
12863,p,9.1,x,,n,t,x,,u,8.87,18.98,s,,g,,u,f,f,,d,a
12864,p,1.85,b,g,o,f,,c,n,5.57,2.89,,,n,,,f,f,,d,u
12865,e,12.74,s,,n,t,d,c,w,7.54,26.85,,,w,,,f,f,,d,a
12866,e,7.03,x,d,e,t,p,,r,5.89,13.01,,,e,,,f,f,,d,u
12867,p,3.12,b,g,w,f,x,d,w,3.99,2.58,,,y,,,f,f,,g,u
12868,p,0.78,f,,o,f,d,,o,4.27,1.02,,,o,,,f,f,,g,u
12869,p,6.94,s,t,r,t,d,,g,4.3,11.64,,t,r,,,f,f,,d,a
12870,e,4.86,o,,n,f,f,f,f,5.32,18.54,,,n,,,f,f,,l,w
12871,p,7.66,s,d,e,t,d,c,y,6.27,10.39,,,n,,,f,f,,d,a
12872,p,3.99,c,i,y,f,,c,r,5.84,7.36,,,w,,,f,f,,d,u
12873,e,3.21,x,h,p,f,a,c,o,4.46,6.09,,,o,,,f,f,,g,a
12874,p,13.45,f,s,o,f,p,,y,5.53,34.01,,,n,,,f,f,,d,u
12875,e,10.39,x,e,l,f,x,c,w,5.94,12.83,,,w,,,f,f,,d,u
12876,p,8.65,x,i,y,f,,c,n,7.42,7.71,,,n,,,f,f,,d,s
12877,e,3.6,x,,y,f,a,c,y,4.25,9.85,,,w,,,f,f,,d,u
12878,e,3.27,b,y,n,f,,c,k,6.54,3.09,,,w,,,f,f,,d,a
12879,p,11.46,f,t,r,t,d,c,n,5.53,18.36,,,n,,,f,f,,d,a
12880,e,9.74,x,t,n,t,p,,n,8.06,18.43,,,n,,w,t,p,,d,u
12881,e,4.74,x,,y,f,a,c,y,3.27,7.17,,,w,,,f,f,,d,a
12882,p,3.26,x,,w,f,x,c,p,7.81,4.33,,,p,,,f,f,,l,u
12883,p,2.63,x,g,e,f,a,,w,8.19,2.69,,,n,,,f,f,,d,u
12884,p,2.53,b,d,y,f,a,,y,4.75,6.11,,t,y,,,f,f,,m,a
12885,p,3.09,b,w,p,f,a,,r,4.82,5.56,,t,y,,,f,f,,m,a
12886,p,4.08,b,t,n,f,x,c,p,4.94,4.17,,i,g,,,f,f,,g,u
12887,p,5.16,b,h,n,f,,,k,13.79,7.29,,,w,,,t,,k,g,u
12888,p,1.49,x,g,y,f,d,d,n,2.04,2.58,,s,n,,,f,f,,h,a
12889,p,7.03,s,t,n,f,x,c,y,5.32,14.29,,,y,,,f,f,,d,a
12890,e,9.88,f,e,b,f,,c,b,4.93,20.85,,,w,,,t,f,,d,a
12891,e,8.18,x,,p,f,x,c,w,6.94,16.36,,s,w,,,f,f,,d,a
12892,e,48.76,o,y,w,f,p,,y,5.99,37.8,,k,k,,,f,f,,d,s
12893,p,9.28,s,t,p,t,d,c,p,7.46,17.25,,,p,,,t,f,,d,u
12894,e,8.7,x,s,n,f,e,c,w,6.97,9.66,,i,n,,,f,f,p,d,s
12895,e,5.87,x,y,n,f,e,c,n,4.71,12.05,,,w,,,t,r,,w,u
12896,e,6.59,s,,n,f,d,c,w,4.99,7.57,,s,w,,,f,f,,h,a
12897,e,3.62,b,g,n,f,x,d,w,4.72,3.34,,,y,,,f,f,,g,u
12898,p,5.21,s,d,n,t,d,c,w,4.0,6.16,,,g,,,f,f,,d,u
12899,e,0.8,p,g,g,f,,,g,3.01,1.45,,,w,,,f,f,,d,w
12900,p,6.49,x,t,e,f,x,d,w,6.07,16.73,b,,w,,,f,f,,d,a
12901,p,5.4,x,,p,f,,c,g,4.15,13.63,,,y,,,f,f,,d,a
12902,p,5.9,s,d,y,f,d,c,y,3.67,6.48,,,o,,,f,f,,h,a
12903,e,7.47,x,y,w,f,e,c,p,5.25,12.37,,,w,,w,t,e,,m,a
12904,e,4.93,c,h,n,f,e,,w,11.79,12.39,,s,w,u,w,f,f,,d,a
12905,e,7.96,s,,n,f,,,w,3.97,21.24,,,n,,,f,f,,d,a
12906,e,3.45,f,y,n,f,d,c,p,5.74,4.09,,i,n,,,f,f,,l,a
12907,e,6.39,x,y,n,f,e,c,w,4.48,9.65,,y,n,,,f,f,,d,a
12908,e,7.17,f,,p,f,x,c,w,5.87,17.13,,s,w,,,f,f,,d,u
12909,p,3.06,s,s,g,f,d,c,w,3.16,8.74,,,w,,,f,f,,g,a
12910,p,2.98,s,w,n,t,d,c,n,3.58,6.06,,,n,,,f,f,,d,a
12911,p,8.04,s,t,p,t,d,c,p,5.99,12.66,,,p,,,f,f,,d,u
12912,p,3.8,b,t,n,f,,,k,10.54,5.86,,,w,,,t,,k,d,a
12913,e,2.74,b,g,w,f,x,d,w,6.15,3.14,,,y,,,f,f,,g,s
12914,e,7.07,x,t,g,f,a,d,n,5.1,4.44,,t,g,,,t,l,,d,u
12915,p,9.37,s,t,p,t,d,c,p,8.76,15.75,,,p,,,t,f,,d,a
12916,e,5.64,o,,g,f,f,f,f,4.91,19.55,,,n,,,f,f,,d,s
12917,p,8.17,s,t,p,t,d,c,p,7.99,14.34,,,p,,,t,f,,d,a
12918,p,16.53,f,k,n,f,d,c,y,6.14,35.72,,k,k,,,f,f,,d,u
12919,p,5.42,c,i,y,f,,c,n,6.4,7.12,,,w,,,f,f,,d,a
12920,e,2.89,b,y,n,f,,c,n,6.28,3.07,,,w,,,f,f,,d,a
12921,e,5.79,f,s,n,f,s,c,w,6.36,9.95,b,i,n,,,f,f,,l,u
12922,e,6.15,x,s,n,f,x,c,w,6.4,9.95,,s,n,,,f,f,,l,a
12923,e,3.66,f,s,w,f,d,d,w,3.96,6.09,,,w,,,f,f,,g,w
12924,p,7.19,x,w,p,f,s,c,p,4.86,9.71,,,p,,,f,f,,d,a
12925,e,3.75,f,d,p,t,d,c,p,5.59,6.94,,,g,,,f,f,,d,u
12926,e,3.12,f,d,g,t,d,c,p,4.2,5.82,,,n,,,f,f,,d,a
12927,e,11.12,s,,w,t,d,c,p,6.12,25.58,,,w,,,f,f,,d,a
12928,p,8.0,p,y,n,f,,,p,14.44,16.57,,,w,,,f,f,,d,a
12929,e,3.71,x,s,y,f,p,,n,6.18,11.9,,,e,,,f,f,,d,u
12930,p,12.0,x,h,o,f,e,,w,18.02,17.26,s,y,w,u,w,t,g,,d,u
12931,e,16.55,s,e,n,f,a,c,w,8.5,26.19,s,,w,,,f,f,,l,w
12932,p,2.28,p,t,n,f,a,c,g,6.4,2.27,,t,y,,,t,e,,m,u
12933,p,6.52,f,,y,f,s,d,y,6.18,16.88,,i,y,,,f,f,,d,a
12934,e,1.23,x,g,e,t,a,,p,5.81,1.14,,,n,,,f,f,,d,u
12935,e,6.57,c,h,n,f,e,,w,12.62,13.19,,s,w,u,w,f,f,,d,u
12936,p,11.36,s,t,k,t,d,c,w,4.78,24.48,,,r,,,f,f,,d,a
12937,p,5.92,x,,w,t,x,,n,7.58,17.63,s,,u,,u,f,f,,d,u
12938,e,4.51,x,,n,f,x,c,n,8.33,9.41,b,,w,,w,t,,,g,a
12939,p,3.88,f,d,n,f,x,c,y,4.64,3.47,b,i,n,,,f,f,,l,a
12940,p,7.68,x,w,e,f,x,,w,15.0,7.45,r,g,n,,,f,f,,d,a
12941,p,17.23,x,g,e,f,e,,w,19.18,18.12,s,y,w,u,w,t,g,,d,a
12942,p,1.65,x,g,n,f,d,d,n,2.15,2.69,,s,n,,,f,f,,h,u
12943,e,8.29,f,d,w,f,s,c,w,5.59,31.44,,,w,,,f,f,,d,s
12944,p,6.1,s,k,n,f,p,,n,4.95,6.89,,k,n,,,t,f,,d,a
12945,p,6.22,s,t,n,f,x,c,y,4.6,14.14,,,y,,,f,f,,d,a
